frame,clase,conf,cx,cy,cz,dx,dy,dz,yaw_deg,n_pts,marco
246,silla,0.88,-1.468,2.708,-0.021,0.309,0.23,0.249,-83.9,871,mundo
249,ventana,0.973,-0.841,5.398,0.577,0.88,0.2,0.162,172.3,1274,mundo
249,silla,0.952,-1.067,5.295,0.203,0.758,0.226,0.189,175.1,1117,mundo
249,silla,0.794,-1.388,2.258,0.036,0.391,0.203,0.498,143.2,1935,mundo
252,ventana,0.965,-0.868,5.396,0.584,0.832,0.183,0.16,172.0,1244,mundo
252,silla,0.936,-1.064,5.257,0.181,0.749,0.246,0.197,172.8,1178,mundo
252,silla,0.837,-1.422,2.711,-0.068,0.501,0.269,0.511,136.3,2120,mundo
255,ventana,0.97,-0.866,5.393,0.587,0.824,0.18,0.151,173.5,1148,mundo
255,silla,0.962,-1.08,5.244,0.202,0.755,0.237,0.203,177.0,1282,mundo
255,silla,0.867,-1.409,2.706,-0.036,0.486,0.25,0.432,-51.9,2067,mundo
258,ventana,0.981,-0.858,5.384,0.587,0.795,0.171,0.218,177.7,1163,mundo
258,silla,0.966,-1.271,5.25,-0.43,0.382,0.158,0.181,-153.4,382,mundo
258,silla,0.819,-1.392,2.68,0.008,0.416,0.226,0.378,-53.8,1929,mundo
261,ventana,0.975,-0.875,5.414,0.59,0.801,0.187,0.137,175.4,1224,mundo
261,silla,0.971,-1.087,5.398,-0.205,0.301,0.252,0.447,-108.3,825,mundo
261,silla,0.867,-1.384,2.644,-0.165,0.363,0.252,0.719,-54.1,2810,mundo
264,ventana,0.964,-0.771,6.038,1.399,0.753,0.223,0.264,74.0,661,mundo
264,silla,0.956,-1.111,5.331,-0.249,0.587,0.309,0.144,10.5,872,mundo
264,silla,0.852,-1.354,2.236,0.053,0.457,0.234,0.162,136.5,1614,mundo
264,mesa,0.447,1.385,2.473,0.419,0.318,0.472,0.134,76.8,1273,mundo
